#TTV companion b,,,,,
b_ttv_transit_1,0.0066,1,uniform -0.0034 0.0166,TTV$_\mathrm{b;1}$,d
b_ttv_transit_2,-0.0267,1,uniform -0.0367 -0.0167,TTV$_\mathrm{b;2}$,d
b_ttv_transit_3,0.0047,1,uniform -0.0053 0.0147,TTV$_\mathrm{b;3}$,d
b_ttv_transit_4,-0.0287,1,uniform -0.0387 -0.0187,TTV$_\mathrm{b;4}$,d
b_ttv_transit_5,0.1357,1,uniform 0.1257 0.1457,TTV$_\mathrm{b;5}$,d
b_ttv_transit_6,-0.0229,1,uniform -0.0329 -0.0129,TTV$_\mathrm{b;6}$,d
b_ttv_transit_7,0.0164,1,uniform 0.0064 0.0264,TTV$_\mathrm{b;7}$,d
b_ttv_transit_8,0.0347,1,uniform 0.0247 0.0447,TTV$_\mathrm{b;8}$,d
b_ttv_transit_9,0.0112,1,uniform 0.0012 0.0212,TTV$_\mathrm{b;9}$,d
b_ttv_transit_10,-0.0099,1,uniform -0.0199 0.0001,TTV$_\mathrm{b;10}$,d
b_ttv_transit_11,0.0291,1,uniform 0.0191 0.0391,TTV$_\mathrm{b;11}$,d
b_ttv_transit_12,0.0531,1,uniform 0.0431 0.0631,TTV$_\mathrm{b;12}$,d
b_ttv_transit_13,-0.0015,1,uniform -0.0115 0.0085,TTV$_\mathrm{b;13}$,d
b_ttv_transit_14,-0.0112,1,uniform -0.0212 -0.0012,TTV$_\mathrm{b;14}$,d
b_ttv_transit_15,0.011,1,uniform 0.001 0.021,TTV$_\mathrm{b;15}$,d
b_ttv_transit_16,0.0193,1,uniform 0.0093 0.0293,TTV$_\mathrm{b;16}$,d
b_ttv_transit_17,0.0137,1,uniform 0.0037 0.0237,TTV$_\mathrm{b;17}$,d
b_ttv_transit_18,-0.0243,1,uniform -0.0343 -0.0143,TTV$_\mathrm{b;18}$,d
b_ttv_transit_19,-0.0334,1,uniform -0.0434 -0.0234,TTV$_\mathrm{b;19}$,d
b_ttv_transit_20,-0.0276,1,uniform -0.0376 -0.0176,TTV$_\mathrm{b;20}$,d
b_ttv_transit_21,0.0047,1,uniform -0.0053 0.0147,TTV$_\mathrm{b;21}$,d
b_ttv_transit_22,0.0056,1,uniform -0.0044 0.0156,TTV$_\mathrm{b;22}$,d
b_ttv_transit_23,-0.0352,1,uniform -0.0452 -0.0252,TTV$_\mathrm{b;23}$,d
